intersection_id,time_bin,vehicle_count,avg_speed,congestion_score,current_green,fuzzy_delta,suggested_green_fuzzy
"(('7116487491', 0, 260.9278160511501, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1564.6778160511499, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1800.05781605115, 'r'))",2025-09-09 00:13:20,1,68.89,0.0,10.0,0.0,10.0
"(('7116487491', 0, 266.4284222475877, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1570.1784222475876, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1805.5584222475877, 'r'), ('cluster_3681802616_8393114933', 4, 1995.3084222475877, 'r'))",2025-09-09 00:13:20,1,70.18,0.0,10.0,0.0,10.0
"(('7116487491', 0, 270.93652452131226, 'G'),)",2025-09-09 00:13:10,1,62.25,0.0,20.0,0.0,20.0
"(('7116487491', 0, 280.06380492883085, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1583.8138049288307, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1819.1938049288306, 'r'))",2025-09-09 00:13:20,1,69.0,0.0,10.0,0.0,10.0
"(('7116487491', 0, 285.9232375892504, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1589.6732375892502, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1825.0532375892503, 'r'), ('cluster_3681802616_8393114933', 4, 2014.8032375892503, 'r'))",2025-09-09 00:13:20,1,70.52,0.0,10.0,0.0,10.0
"(('7116487491', 0, 288.22818167905245, 'G'),)",2025-09-09 00:13:10,1,60.17,0.0,20.0,0.0,20.0
"(('7116487491', 0, 299.2294880660044, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1602.9794880660043, 'r'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1838.3594880660044, 'r'))",2025-09-09 00:13:20,1,66.08,0.0,10.0,0.0,10.0
"(('7116487491', 0, 3.3209130131637323, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1307.070913013164, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1542.4509130131642, 'r'))",2025-09-09 00:13:20,1,22.19,0.0,10.0,0.0,10.0
"(('7116487491', 0, 304.94198014173077, 'G'),)",2025-09-09 00:13:10,1,61.51,0.0,20.0,0.0,20.0
"(('7116487491', 0, 305.5114137638055, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1609.2614137638052, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1844.6414137638053, 'r'), ('cluster_3681802616_8393114933', 4, 2034.3914137638053, 'r'))",2025-09-09 00:13:20,1,68.89,0.0,10.0,0.0,10.0
"(('7116487491', 0, 317.5843284300692, 'r'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1621.334328430069, 'y'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1856.7143284300691, 'r'))",2025-09-09 00:13:20,1,70.39,0.0,10.0,0.0,10.0
"(('7116487491', 0, 322.02809783633654, 'G'),)",2025-09-09 00:13:10,1,59.21,0.0,20.0,0.0,20.0
"(('7116487491', 0, 324.64661878393247, 'G'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1628.3966187839324, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 10, 1863.7766187839325, 'r'), ('cluster_3681802616_8393114933', 4, 2053.5266187839325, 'r'))",2025-09-09 00:13:20,1,69.92,0.0,10.0,0.0,10.0
"(('7116487491', 0, 337.1376262016895, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1640.8876262016893, 'y'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1876.2676262016894, 'r'))",2025-09-09 00:13:20,1,66.61,0.0,10.0,0.0,10.0
"(('7116487491', 0, 338.4740089731506, 'G'),)",2025-09-09 00:13:10,1,61.2,0.0,20.0,0.0,20.0
"(('7116487491', 0, 34.52705215035819, 'y'), ('cluster_1864383430_246182050_4745948567_4745948571_#4more', 0, 1338.2770521503585, 'G'), ('cluster_3864247789_4605891082_4605891085_4605891087_#11more', 6, 1573.6570521503586, 'y'))",2025-09-09 00:13:20,1,67.97,0.0,10.0,0.0,10.0
"(('7116487491', 0, 34.76952547614889, 'G'),)",2025-09-09 00:13:10,1,63.23,0.0,20.0,0.0,20.0
